code,qid,question,option_1,option_2,option_3,option_4,correct_option
POF,038,Vad är en viktig faktor för att bestämma flygplanets räckvidd?,Bränslekapacitet,Vingform,Höjdroderstorlek,Sidroderstorlek,1
POF,039,Vad kallas den vinkel som flygplanet har i förhållande till horisonten under stigning?,Stigningsvinkel,Anfallsvinkel,Glidvinkel,Rullvinkel,1
POF,040,Vad är syftet med en leading edge slat?,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Styra gir,Öka hastighet,1
POF,041,Vad är en vanlig orsak till att ett flygplan tappar höjd?,Minskad lyftkraft,Ökad dragkraft,Motorstopp,Höjdroderfel,1
POF,042,Vad kallas den hastighet där flygplanet kan flyga med minsta möjliga effekt?,Bästa glidvinkel,Krysshastighet,Stallhastighet,Maxhastighet,2
POF,043,Vad är en fördel med att ha en hög vingbelastning?,Bättre manövrerbarhet vid höga hastigheter,Högre lyftkraft vid låga hastigheter,Lägre bränsleförbrukning,Minskad vikt,1
POF,044,Vad är syftet med en spoiler på vingen?,Minska lyftkraft,Öka lyftkraft,Styra gir,Öka hastighet,1
POF,045,Vad är den relativa vindens effekt på lyftkraften?,Ökar med högre hastighet,Minskar med högre hastighet,Är oberoende av hastighet,Påverkar bara vid svängar,1
POF,046,Vad är en viktig funktion hos en flygkropp?,Ge strukturell styrka,Skapa lyftkraft,Minska luftmotstånd,Styra planet,1
POF,047,Vad kallas det när ett flygplan rör sig sidledes utan att gira?,Sidoslir,Stall,Rullning,Svängning,1
POF,048,Vad är syftet med en vertikal stabilisator?,Ge riktningsstabilitet,Öka lyftkraft,Minska dragkraft,Styra stigning,1
POF,049,Vad kallas den punkt där lyftkraften verkar på vingen?,Lyftpunkt,Tyngdpunkt,Aerodynamiskt centrum,Rullpunkt,3
POF,050,Vad är en fördel med en turbopropmotor?,Hög effektivitet vid låga hastigheter,Hög hastighet,Låg vikt,Låg kostnad,1
POF,051,Vad är syftet med en luftbroms?,Minska hastighet,Öka lyftkraft,Styra gir,Minska bränsleförbrukning,1
POF,052,Vilken faktor påverkar stallhastigheten mest?,Vingbelastning,Motorstyrka,Luftdensitet,Flygplanets längd,1
POF,053,Vad är syftet med en vingspets?,Minska virvelmotstånd,Öka lyftkraft,Styra gir,Minska vikt,1
POF,054,Vad kallas den hastighet där flygplanet kan flyga längst tid i luften?,Uthållighetshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,055,Vad är en fördel med en swept-back vinge?,Bättre prestanda vid höga hastigheter,Högre lyftkraft vid låga hastigheter,Lägre vikt,Minskad bränsleförbrukning,1
POF,056,Vad är syftet med en horisontell stabilisator?,Ge longitudinell stabilitet,Öka lyftkraft,Minska dragkraft,Styra sidrörelse,1
POF,057,Vad är en vanlig orsak till att ett flygplan svänger oavsiktligt?,Obalans i skevroder,Höjdroderfel,Motorstopp,Vindbyar,1
POF,058,Vad kallas den hastighet där flygplanet kan flyga längst sträcka?,Räckviddshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,059,Vad är en fördel med en låg vingbelastning?,Bättre lyftkraft vid låga hastigheter,Högre hastighet,Lägre bränsleförbrukning,Bättre manövrerbarhet vid höga hastigheter,1
POF,060,Vad är syftet med en yaw damper?,Minska oönskad gir,Öka lyftkraft,Minska hastighet,Styra stigning,1
POF,061,Vad är en vanlig orsak till att ett flygplan tappar lyftkraft?,För hög anfallsvinkel,För hög hastighet,För låg höjd,För hög luftdensitet,1
POF,062,Vad kallas den kraft som motverkar flygplanets framåtrörelse?,Dragkraft,Lyftkraft,Aerodynamiskt motstånd,Tyngdkraft,3
POF,063,Vad är en fördel med en hög vingspann?,Minska virvelmotstånd,Öka hastighet,Minska lyftkraft,Öka bränsleförbrukning,1
POF,064,Vad är syftet med en canardvinge?,Ge extra lyftkraft och stabilitet,Minska vikt,Öka hastighet,Minska bränsleförbrukning,1
POF,065,Vad är en vanlig orsak till att ett flygplan stallar vid svängar?,Ökad vingbelastning,Minskad luftdensitet,Ökad dragkraft,Minskad motorstyrka,1
POF,066,Vad är syftet med en vingprofil med hög camber?,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Öka hastighet,Styra gir,1
POF,067,Vad kallas den hastighet där flygplanet har bäst lyft-till-motstånd-förhållande?,Bästa glidvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,068,Vad är en fördel med en turbofanmotor?,Hög effektivitet och låg ljudnivå,Hög hastighet,Låg vikt,Låg kostnad,1
POF,069,Vad är syftet med en vingspetsvinge (winglet)?,Minska virvelmotstånd,Öka lyftkraft,Styra gir,Minska hastighet,1
POF,070,Vad kallas den punkt där alla aerodynamiska krafter verkar?,Aerodynamiskt centrum,Tyngdpunkt,Lyftpunkt,Rullpunkt,1
POF,071,Vad är en vanlig orsak till att ett flygplan tappar stabilitet?,Obalans i tyngdpunkt,Ökad lyftkraft,Minskad dragkraft,Ökad motorstyrka,1
POF,072,Vad är syftet med en variabel pitch propeller?,Optimera effektivitet vid olika hastigheter,Minska vikt,Öka lyftkraft,Minska bränsleförbrukning,1
POF,073,Vad är en fördel med en lågvingad konstruktion?,Bättre stabilitet vid höga hastigheter,Högre lyftkraft,Bättre markfrigång,Minskad vikt,1
POF,074,Vad är syftet med en stallremsa?,Utlösa stall vid önskad punkt,Öka lyftkraft,Minska hastighet,Styra gir,1
POF,075,Vad kallas den hastighet där flygplanet kan klättra snabbast?,Bästa stigningshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,076,Vad är en vanlig orsak till att ett flygplan vibrerar?,Obalans i propeller eller motor,Ökad lyftkraft,Minskad luftdensitet,Ökad hastighet,1
POF,077,Vad kallas den kraft som håller ett flygplan i en stabil sväng?,Centripetalkraft,Lyftkraft,Dragkraft,Tyngdkraft,1
POF,078,Vad är en fördel med en hög anfallsvinkel vid start?,Ökar lyftkraft,Minskar hastighet,Ökar bränsleförbrukning,Minskar stabilitet,1
POF,079,Vad är syftet med en tryckkabin?,Upprätthålla behaglig trycknivå,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,080,Vad kallas den effekt som gör att ett flygplan tenderar att gira vid rullning?,Adverse yaw,Stall,Sidoslir,Rullmoment,1
POF,081,Vad är en vanlig orsak till att ett flygplan tappar lyftkraft vid hög höjd?,Lägre luftdensitet,Ökad hastighet,Minskad motorstyrka,Ökad vingbelastning,1
POF,082,Vad är syftet med en strömlinjeformad flygkropp?,Minska aerodynamiskt motstånd,Öka lyftkraft,Styra gir,Minska vikt,1
POF,083,Vad kallas den hastighet där flygplanet kan flyga med minsta bränsleförbrukning per kilometer?,Räckviddshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,084,Vad är en fördel med en hög vingspann-till-korda-förhållande?,Bättre glidprestanda,Högre hastighet,Lägre lyftkraft,Ökad bränsleförbrukning,1
POF,085,Vad är syftet med en differentialskontroll av skevroder?,Minska adverse yaw,Öka lyftkraft,Minska hastighet,Styra stigning,1
POF,086,Vad kallas den vinkel som vingens framkant har i förhållande till flygkroppen?,Svepevinkel,Anfallsvinkel,Dihedralvinkel,Glidvinkel,1
POF,087,Vad är syftet med en anti-icing-system på vingen?,Förhindra isbildning,Öka lyftkraft,Minska hastighet,Styra gir,1
POF,088,Vad är en fördel med en jetmotor jämfört med en kolvmotor?,Högre hastighet och effektivitet,Lägre vikt,Högre lyftkraft,Lägre kostnad,1
POF,089,Vad kallas den punkt där flygplanets rullning balanserar?,Rullpunkt,Tyngdpunkt,Lyftpunkt,Aerodynamiskt centrum,1
POF,090,Vad är syftet med en variabel geometri-vinge?,Optimera prestanda vid olika hastigheter,Minska vikt,Öka lyftkraft,Minska bränsleförbrukning,1
POF,091,Vad är en fördel med en högvingad konstruktion?,Bättre markfrigång,Högre hastighet,Lägre lyftkraft,Ökad bränsleförbrukning,1
POF,092,Vad är syftet med en vortex generator på vingen?,Fördröja stall,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,093,Vad kallas den hastighet där flygplanet kan klättra med högsta vinkel?,Bästa stigningsvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,094,Vad är syftet med en vingklaff vid hög hastighet?,Minska lyftkraft,Öka lyftkraft,Styra gir,Minska bränsleförbrukning,1
POF,095,Vad är en fördel med en låg anfallsvinkel vid kryssning?,Minska bränsleförbrukning,Öka lyftkraft,Öka hastighet,Minska stabilitet,1
POF,096,Vad är syftet med en vingspetsvirvel?,Öka aerodynamiskt motstånd,Minska lyftkraft,Förbättra stabilitet,Minska bränsleförbrukning,1
POF,097,Vad är en vanlig orsak till att ett flygplan tappar kontroll?,Obalans i tyngdpunkt,Ökad lyftkraft,Minskad dragkraft,Ökad motorstyrka,1
POF,098,Vad är syftet med en strömplatta på vingen?,Förbättra luftflödet,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,099,Vad kallas den effekt som uppstår när luften accelererar över vingens ovansida?,Venturi-effekten,Bernoulli-effekten,Coanda-effekten,Magnus-effekten,2
POF,100,Vad är syftet med en balansroder?,Minska pilotens ansträngning,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,101,Vad är en nackdel med en hög vingbelastning?,Sämre lyftkraft vid låga hastigheter,Högre hastighet,Lägre bränsleförbrukning,Bättre stabilitet,1
POF,102,Vad kallas den vinkel som vingens plan har i förhållande till horisontalplanet?,Dihedralvinkel,Anfallsvinkel,Svepevinkel,Glidvinkel,1
POF,103,Vad är syftet med en T-tail-konfiguration?,Minska störningar från propellerflöde,Öka lyftkraft,Minska vikt,Öka hastighet,1
POF,104,Vad är en vanlig orsak till att ett flygplan upplever vibrationer vid hög hastighet?,Aerodynamisk obalans,Ökad lyftkraft,Minskad luftdensitet,Felaktig bränsleblandning,1
POF,105,Vad är syftet med en Krueger-flap?,Öka lyftkraft vid låga hastigheter,Minska hastighet,Styra gir,Minska bränsleförbrukning,1
POF,106,Vad kallas den effekt som gör att ett flygplan tenderar att återgå till stabil flygning?,Statisk stabilitet,Dynamisk stabilitet,Aerodynamisk stabilitet,Termisk stabilitet,1
POF,107,Vad är en fördel med en hög vingspann-till-korda-förhållande vid glidflygning?,Bättre glidprestanda,Högre hastighet,Lägre lyftkraft,Ökad bränsleförbrukning,1
POF,108,Vad är syftet med en vingklaff vid start?,Öka lyftkraft och minska starsträcka,Minska hastighet,Styra gir,Öka bränsleförbrukning,1
POF,109,Vad kallas den hastighet där flygplanet har högsta lyft-till-motstånd-förhållande?,Bästa glidvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,110,Vad är en vanlig orsak till att ett flygplan stallar vid hög höjd?,Lägre luftdensitet,Ökad hastighet,Minskad motorstyrka,Ökad vingbelastning,1
POF,111,Vad är syftet med en fenliknande struktur på flygkroppen?,Förbättra riktningsstabilitet,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,112,Vad kallas den effekt som gör att ett flygplan kan svänga utan att rulla?,Koordinerad sväng,Sidoslir,Adverse yaw,Rullmoment,1
POF,113,Vad är en fördel med en lågvingad konstruktion vid höga hastigheter?,Bättre stabilitet,Högre lyftkraft,Bättre markfrigång,Minskad vikt,1
POF,114,Vad är syftet med en vingklaff vid landning?,Öka lyftkraft och minska hastighet,Öka hastighet,Styra gir,Minska bränsleförbrukning,1
POF,115,Vad kallas den hastighet där flygplanet kan flyga med minsta bränsleförbrukning per kilometer?,Räckviddshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,116,Vad är en vanlig orsak till att ett flygplan upplever sidoslir?,Obalans i sidroder,Ökad lyftkraft,Minskad dragkraft,Ökad motorstyrka,1
POF,117,Vad är syftet med en vingprofil med låg camber?,Bättre prestanda vid höga hastigheter,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Styra gir,1
POF,118,Vad kallas den effekt som gör att ett flygplan tenderar att rulla vid gir?,Rullmoment,Adverse yaw,Sidoslir,Stall,1
POF,119,Vad är en fördel med en hög vingspann?,Minska virvelmotstånd,Öka hastighet,Minska lyftkraft,Öka bränsleförbrukning,1
POF,120,Vad är syftet med en tryckkabin i hög höjd?,Upprätthålla behaglig trycknivå,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,121,Vad kallas den vinkel som flygplanet har i förhållande till vinden under landning?,Glidvinkel,Anfallsvinkel,Svängvinkel,Rullvinkel,1
POF,122,Vad är syftet med en vortex generator på vingen?,Fördröja stall,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,123,Vad kallas den hastighet där flygplanet kan klättra med högsta vinkel?,Bästa stigningsvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,124,Vad är en vanlig orsak till att ett flygplan vibrerar under flygning?,Obalans i motor eller propeller,Ökad lyftkraft,Minskad luftdensitet,Ökad hastighet,1
POF,125,Vad är syftet med en strömplatta på vingen?,Förbättra luftflödet,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,126,Vad kallas den effekt som uppstår när luften accelererar över vingens ovansida?,Venturi-effekten,Bernoulli-effekten,Coanda-effekten,Magnus-effekten,2
POF,127,Vad är syftet med en balansroder?,Minska pilotens ansträngning,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,128,Vad är en nackdel med en hög vingbelastning?,Sämre lyftkraft vid låga hastigheter,Högre hastighet,Lägre bränsleförbrukning,Bättre stabilitet,1
POF,129,Vad kallas den vinkel som vingens plan har i förhållande till horisontalplanet?,Dihedralvinkel,Anfallsvinkel,Svepevinkel,Glidvinkel,1
POF,130,Vad är syftet med en T-tail-konfiguration?,Minska störningar från propellerflöde,Öka lyftkraft,Minska vikt,Öka hastighet,1
POF,131,Vad är en vanlig orsak till att ett flygplan upplever vibrationer vid hög hastighet?,Aerodynamisk obalans,Ökad lyftkraft,Minskad luftdensitet,Felaktig bränsleblandning,1
POF,132,Vad är syftet med en Krueger-flap?,Öka lyftkraft vid låga hastigheter,Minska hastighet,Styra gir,Minska bränsleförbrukning,1
POF,133,Vad kallas den effekt som gör att ett flygplan tenderar att återgå till stabil flygning?,Statisk stabilitet,Dynamisk stabilitet,Aerodynamisk stabilitet,Termisk stabilitet,1
POF,134,Vad är en fördel med en hög vingspann-till-korda-förhållande vid glidflygning?,Bättre glidprestanda,Högre hastighet,Lägre lyftkraft,Ökad bränsleförbrukning,1
POF,135,Vad är syftet med en vingklaff vid start?,Öka lyftkraft och minska starsträcka,Minska hastighet,Styra gir,Öka bränsleförbrukning,1
POF,136,Vad kallas den hastighet där flygplanet har högsta lyft-till-motstånd-förhållande?,Bästa glidvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,137,Vad är en vanlig orsak till att ett flygplan stallar vid hög höjd?,Lägre luftdensitet,Ökad hastighet,Minskad motorstyrka,Ökad vingbelastning,1
POF,138,Vad är syftet med en fenliknande struktur på flygkroppen?,Förbättra riktningsstabilitet,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,139,Vad kallas den effekt som gör att ett flygplan kan svänga utan att rulla?,Koordinerad sväng,Sidoslir,Adverse yaw,Rullmoment,1
POF,140,Vad är en fördel med en lågvingad konstruktion vid höga hastigheter?,Bättre stabilitet,Högre lyftkraft,Better markfrigång,Minskad vikt,1
POF,141,Vad är syftet med en vingklaff vid landning?,Öka lyftkraft och minska hastighet,Öka hastighet,Styra gir,Minska bränsleförbrukning,1
POF,142,Vad kallas den hastighet där flygplanet kan flyga med minsta bränsleförbrukning per kilometer?,Räckviddshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,143,Vad är en vanlig orsak till att ett flygplan upplever sidoslir?,Obalans i sidroder,Ökad lyftkraft,Minskad dragkraft,Ökad motorstyrka,1
POF,144,Vad är syftet med en vingprofil med låg camber?,Bättre prestanda vid höga hastigheter,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Styra gir,1
POF,145,Vad kallas den effekt som gör att ett flygplan tenderar att rulla vid gir?,Rullmoment,Adverse yaw,Sidoslir,Stall,1
POF,146,Vad är en fördel med en hög vingspann?,Minska virvelmotstånd,Öka hastighet,Minska lyftkraft,Öka bränsleförbrukning,1
POF,147,Vad är syftet med en tryckkabin i hög höjd?,Upprätthålla behaglig trycknivå,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,148,Vad kallas den vinkel som flygplanet har i förhållande till vinden under landning?,Glidvinkel,Anfallsvinkel,Svängvinkel,Rullvinkel,1
POF,149,Vad är syftet med en vortex generator på vingen?,Fördröja stall,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,150,Vad kallas den hastighet där flygplanet kan klättra med högsta vinkel?,Bästa stigningsvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,151,Vad är en vanlig orsak till att ett flygplan vibrerar under flygning?,Obalans i motor eller propeller,Ökad lyftkraft,Minskad luftdensitet,Ökad hastighet,1
POF,152,Vad är syftet med en strömplatta på vingen?,Förbättra luftflödet,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,153,Vad kallas den effekt som uppstår när luften accelererar över vingens ovansida?,Venturi-effekten,Bernoulli-effekten,Coanda-effekten,Magnus-effekten,2
POF,154,Vad är syftet med en balansroder?,Minska pilotens ansträngning,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,155,Vad är en nackdel med en hög vingbelastning?,Sämre lyftkraft vid låga hastigheter,Högre hastighet,Lägre bränsleförbrukning,Bättre stabilitet,1
POF,156,Vad kallas den vinkel som vingens plan har i förhållande till horisontalplanet?,Dihedralvinkel,Anfallsvinkel,Svepevinkel,Glidvinkel,1
POF,157,Vad är syftet med en T-tail-konfiguration?,Minska störningar från propellerflöde,Öka lyftkraft,Minska vikt,Öka hastighet,1
POF,158,Vad är en vanlig orsak till att ett flygplan upplever vibrationer vid hög hastighet?,Aerodynamisk obalans,Ökad lyftkraft,Minskad luftdensitet,Felaktig bränsleblandning,1
POF,159,Vad är syftet med en Krueger-flap?,Öka lyftkraft vid låga hastigheter,Minska hastighet,Styra gir,Minska bränsleförbrukning,1
POF,160,Vad kallas den effekt som gör att ett flygplan tenderar att återgå till stabil flygning?,Statisk stabilitet,Dynamisk stabilitet,Aerodynamisk stabilitet,Termisk stabilitet,1
POF,161,Vad är en fördel med en hög vingspann-till-korda-förhållande vid glidflygning?,Bättre glidprestanda,Högre hastighet,Lägre lyftkraft,Ökad bränsleförbrukning,1
POF,162,Vad är syftet med en vingklaff vid start?,Öka lyftkraft och minska starsträcka,Minska hastighet,Styra gir,Öka bränsleförbrukning,1
POF,163,Vad kallas den hastighet där flygplanet har högsta lyft-till-motstånd-förhållande?,Bästa glidvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,164,Vad är en vanlig orsak till att ett flygplan stallar vid hög höjd?,Lägre luftdensitet,Ökad hastighet,Minskad motorstyrka,Ökad vingbelastning,1
POF,165,Vad är syftet med en fenliknande struktur på flygkroppen?,Förbättra riktningsstabilitet,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,166,Vad kallas den effekt som gör att ett flygplan kan svänga utan att rulla?,Koordinerad sväng,Sidoslir,Adverse yaw,Rullmoment,1
POF,167,Vad är en fördel med en lågvingad konstruktion vid höga hastigheter?,Bättre stabilitet,Högre lyftkraft,Better markfrigång,Minskad vikt,1
POF,168,Vad är syftet med en vingklaff vid landning?,Öka lyftkraft och minska hastighet,Öka hastighet,Styra gir,Minska bränsleförbrukning,1
POF,169,Vad kallas den hastighet där flygplanet kan flyga med minsta bränsleförbrukning per kilometer?,Räckviddshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,170,Vad är en vanlig orsak till att ett flygplan upplever sidoslir?,Obalans i sidroder,Ökad lyftkraft,Minskad dragkraft,Ökad motorstyrka,1
POF,171,Vad är syftet med en vingprofil med låg camber?,Bättre prestanda vid höga hastigheter,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Styra gir,1
POF,172,Vad kallas den effekt som gör att ett flygplan tenderar att rulla vid gir?,Rullmoment,Adverse yaw,Sidoslir,Stall,1
POF,173,Vad är en fördel med en hög vingspann?,Minska virvelmotstånd,Öka hastighet,Minska lyftkraft,Öka bränsleförbrukning,1
POF,174,Vad är syftet med en tryckkabin i hög höjd?,Upprätthålla behaglig trycknivå,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,175,Vad kallas den vinkel som flygplanet har i förhållande till vinden under landning?,Glidvinkel,Anfallsvinkel,Svängvinkel,Rullvinkel,1
POF,176,Vad är syftet med en vortex generator på vingen?,Fördröja stall,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,177,Vad kallas den hastighet där flygplanet kan klättra med högsta vinkel?,Bästa stigningsvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,178,Vad är en vanlig orsak till att ett flygplan vibrerar under flygning?,Obalans i motor eller propeller,Ökad lyftkraft,Minskad luftdensitet,Ökad hastighet,1
POF,179,Vad är syftet med en strömplatta på vingen?,Förbättra luftflödet,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,180,Vad kallas den effekt som uppstår när luften accelererar över vingens ovansida?,Venturi-effekten,Bernoulli-effekten,Coanda-effekten,Magnus-effekten,2
POF,181,Vad är syftet med en balansroder?,Minska pilotens ansträngning,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,182,Vad är en nackdel med en hög vingbelastning?,Sämre lyftkraft vid låga hastigheter,Högre hastighet,Lägre bränsleförbrukning,Bättre stabilitet,1
POF,183,Vad kallas den vinkel som vingens plan har i förhållande till horisontalplanet?,Dihedralvinkel,Anfallsvinkel,Svepevinkel,Glidvinkel,1
POF,184,Vad är syftet med en T-tail-konfiguration?,Minska störningar från propellerflöde,Öka lyftkraft,Minska vikt,Öka hastighet,1
POF,185,Vad är en vanlig orsak till att ett flygplan upplever vibrationer vid hög hastighet?,Aerodynamisk obalans,Ökad lyftkraft,Minskad luftdensitet,Felaktig bränsleblandning,1
POF,186,Vad är syftet med en Krueger-flap?,Öka lyftkraft vid låga hastigheter,Minska hastighet,Styra gir,Minska bränsleförbrukning,1
POF,187,Vad kallas den effekt som gör att ett flygplan tenderar att återgå till stabil flygning?,Statisk stabilitet,Dynamisk stabilitet,Aerodynamisk stabilitet,Termisk stabilitet,1
POF,188,Vad är en fördel med en hög vingspann-till-korda-förhållande vid glidflygning?,Bättre glidprestanda,Högre hastighet,Lägre lyftkraft,Ökad bränsleförbrukning,1
POF,189,Vad är syftet med en vingklaff vid start?,Öka lyftkraft och minska starsträcka,Minska hastighet,Styra gir,Öka bränsleförbrukning,1
POF,190,Vad kallas den hastighet där flygplanet har högsta lyft-till-motstånd-förhållande?,Bästa glidvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,191,Vad är en vanlig orsak till att ett flygplan stallar vid hög höjd?,Lägre luftdensitet,Ökad hastighet,Minskad motorstyrka,Ökad vingbelastning,1
